Pivot URI;coef
P148;2.125721
P147;2.2766905
P149;2.0911193
P144;2.6605144
P143;2.207524
P146;1.7909163
P145;2.3328152
P151;2.282464
P150;1.8681302
P153;2.3188004
P152;2.231914
P137;2.6145198
P136;2.0921466
P139;2.3350294
P138;1.9515632
P133;2.2360952
P254;2.1924934
P132;2.086314
P253;2.1909506
P135;2.0495565
P134;2.5593429
P255;2.11659
P140;1.7395828
P142;2.9972937
P141;2.4966242
P169;3.563685
P166;1.8289524
P165;2.3020926
P168;1.9784651
P167;1.8667316
P173;2.2139363
P172;1.84827
P175;2.0419385
P174;1.943071
P171;1.8831933
P170;1.7866532
P159;2.623004
P158;2.488179
P155;1.7223616
P154;2.5454936
P157;1.976702
P156;1.8703645
P10;1.9369918
P12;1.8942546
P11;1.8900101
P14;2.7953181
P13;1.9810672
P16;2.2321389
P15;1.7184556
P18;1.7476301
P17;2.676765
P162;2.311121
P19;2.1913571
P161;2.053426
P164;1.673761
P163;2.3323154
P160;2.2127306
P188;2.5069413
P187;2.4731178
P189;1.9108769
P21;2.2416282
P20;2.2449715
P23;1.9478937
P22;2.192163
P25;2.1849005
P24;2.763635
P27;1.9255967
P26;2.2601402
P29;1.9131167
P28;2.5265503
P195;1.6851815
P194;2.11011
P197;1.9487259
P196;2.143746
P191;2.7144294
P190;2.033422
P193;1.8697517
P192;2.0931761
P177;1.8674328
P176;2.0099578
P179;2.0368176
P178;2.5484502
P30;2.1574259
P32;1.8321676
P31;2.1530204
P34;2.112184
P33;1.9991453
P36;2.1506069
P35;2.3740277
P38;2.0467968
P37;2.0839171
P39;1.7722251
P184;2.2302275
P183;2.353786
P186;2.151463
P185;1.8852531
P180;2.356333
P182;1.9100188
P181;2.1447794
P41;2.227581
P40;2.4718642
P43;2.1814964
P42;2.5756614
P45;2.0906026
P44;2.1329813
P47;2.6580536
P46;2.086818
P49;1.9626623
P48;1.9227793
P199;1.9121422
P198;2.3763118
P50;2.211136
P52;1.8001977
P51;1.8118802
P54;2.1896396
P53;1.8858904
P56;1.9721725
P55;1.8925394
P58;2.0485861
P57;2.0965366
P59;2.5074167
P61;2.0799727
P60;2.1233866
P63;1.7015388
P62;1.993543
P65;2.1705296
P64;2.0121138
P67;2.2075796
P66;1.8177919
P69;1.7540463
P68;2.8415616
P70;3.535001
P72;2.2254114
P71;2.514072
P74;1.5744872
P73;2.3394046
P76;2.1589124
P75;2.6990657
P78;2.048445
P77;1.873694
P79;2.562923
P203;2.0814235
P202;2.0566483
P205;2.7360506
P204;2.7253103
P201;2.8909032
P200;2.390411
P81;2.1626062
P80;1.7586695
P83;2.149787
P82;2.765194
P85;2.1652486
P207;1.8449937
P84;2.0776806
P206;1.8612047
P87;2.2871563
P209;3.1461372
P86;2.0635111
P208;2.2429497
P89;2.257734
P88;1.6767315
P90;1.8030311
P92;2.6944442
P91;2.9547005
P94;1.5751244
P93;2.6234381
P96;1.6634723
P95;2.1496277
P98;2.208881
P97;2.1895604
P99;2.625164
P104;2.7837768
P225;2.0865245
P103;1.7128543
P224;2.1700013
P106;1.6406891
P227;2.5657425
P105;2.1111214
P226;2.025717
P100;2.4885874
P221;1.9233019
P220;2.2373846
P102;1.856347
P223;2.0678346
P101;1.8539621
P222;1.8178012
P108;2.0898447
P229;2.1696935
P107;2.3040245
P228;2.217038
P109;2.5544229
P230;2.1528802
P214;2.0357091
P213;2.1825573
P216;2.819834
P215;1.8637859
P210;2.2072182
P212;1.9761684
P211;2.2736008
P218;2.4253354
P217;2.08367
P219;2.5013993
P126;1.9270341
P247;2.09337
P125;2.1964371
P246;1.8891003
P128;2.0051982
P249;2.5884058
P127;1.9426891
P248;1.8473403
P122;1.9052869
P243;3.3345249
P121;1.7529873
P242;1.6877964
P124;2.4337826
P245;1.8680236
P123;2.1788306
P244;2.1705618
P129;1.9134412
P250;2.6632712
P131;1.9148225
P252;2.249034
P130;2.5264525
P251;1.9845451
P0;1.8796779
P115;1.9959911
P236;2.2052045
P1;2.0936062
P114;2.3886669
P235;1.9177263
P2;1.8356137
P117;2.4251168
P238;2.30583
P3;1.7326865
P116;1.6809213
P237;2.3639996
P4;2.3317237
P111;2.0233002
P232;1.8124514
P5;1.8167505
P110;1.9445081
P231;2.473602
P6;1.9287946
P113;2.4202394
P234;1.855076
P7;2.5672598
P112;1.737128
P233;2.5275147
P8;2.6725886
P9;2.6187336
P119;2.5076506
P118;2.1329923
P239;2.5321674
P120;1.8702078
P241;2.2627394
P240;2.1009648
