IDquery;Q116
0.8054787;D75281
0.87969524;D73749
0.9367123;D9762
0.94327414;D86711
0.9563019;D76205
0.9749123;D27283
0.9883781;D21577
1.0029683;D70383
1.0070311;D15626
1.0076988;D23473
1.008517;D60562
1.0188795;D6627
1.0195107;D15635
1.0263046;D29808
1.0278604;D18210
1.0293247;D47214
1.0338613;D77220
1.0365005;D88628
1.0389341;D48936
1.039026;D74798
1.0391761;D97817
1.0422125;D90893
1.0490248;D91069
1.0501724;D11855
1.0549827;D27879
1.0569355;D73479
1.0572106;D89151
1.0574476;D6635
1.0575074;D56375
1.0595969;D9429
Number of distance computations:90749
IDquery;Q358
0.76461756;D81045
0.8084822;D59582
0.8400831;D38905
0.84649146;D88628
0.8652812;D64041
0.88572437;D75961
0.89470637;D22787
0.9201837;D42462
0.92137533;D8608
0.9425922;D51038
0.9512456;D1051
0.95166695;D29854
0.9531421;D64116
0.95537925;D17463
0.9583737;D23967
0.9652966;D8182
0.97622114;D45794
0.9771547;D74262
0.97829527;D1468
0.97868955;D76483
0.9812033;D56380
0.98271835;D46374
0.98575413;D46945
0.98970586;D88370
0.9914879;D78893
0.9959009;D93093
0.9984766;D84404
1.0055518;D43684
1.0149873;D49792
1.0171279;D63900
Number of distance computations:92334
IDquery;Q115
0.8516377;D87433
0.8524537;D64094
0.8696195;D65354
0.9571802;D75363
1.0301148;D36941
1.0312871;D13209
1.038937;D29787
1.0551753;D32179
1.0622535;D10358
1.0712856;D8354
1.0828334;D9078
1.0886959;D54871
1.0943172;D3665
1.1048149;D26065
1.1085644;D33636
1.1110724;D51295
1.1118227;D32017
1.1122478;D40613
1.1149685;D35450
1.1162087;D44091
1.1183883;D7663
1.125068;D8522
1.1343745;D97915
1.135854;D77088
1.1394455;D86816
1.1421826;D45921
1.143714;D63062
1.1443338;D84044
1.1462778;D47143
1.1479461;D99462
Number of distance computations:83893
IDquery;Q357
0.85348463;D74384
0.87345827;D10444
0.8792113;D53010
0.87963945;D6942
0.89889115;D86306
0.89912736;D11433
0.900078;D95036
0.91323984;D12230
0.9197919;D56521
0.93169725;D70775
0.93462247;D8691
0.94155115;D88552
0.9495176;D60530
0.9689795;D11179
0.9691503;D14816
0.97138345;D88678
0.9716999;D65325
0.97264785;D6361
0.9734956;D48952
0.9829198;D72280
0.98626995;D51505
0.98975694;D48257
0.99262834;D50836
0.99327326;D1165
1.0004578;D2892
1.001544;D72503
1.0027908;D50941
1.0052724;D80736
1.0062844;D77149
1.008188;D40512
Number of distance computations:86145
IDquery;Q599
0.7565402;D16817
0.84317684;D28335
0.8656824;D52618
0.86942166;D29066
0.9246699;D36853
0.94024223;D71357
0.9467927;D30526
0.9492024;D7010
0.9628411;D5264
0.97336423;D64277
0.97869605;D30755
0.98451525;D7288
0.990883;D69398
0.9911936;D90148
0.9922075;D89370
0.9931448;D815
0.99779165;D25800
0.9988387;D50662
0.99952006;D40849
1.0039012;D9917
1.0050962;D7484
1.0108473;D54033
1.0161428;D80902
1.0170234;D83213
1.019124;D83608
1.0196875;D10720
1.0221467;D70196
1.0233885;D24646
1.0284643;D59411
1.0315046;D72782
Number of distance computations:87149
IDquery;Q118
0.80812097;D74076
0.88194424;D11970
0.9494624;D79776
0.9577222;D93581
0.9636082;D9776
0.9643855;D60737
0.98006225;D6967
0.982171;D13235
0.9869435;D59863
0.9869994;D68458
0.9916972;D41111
0.9928887;D60446
0.99806297;D97679
1.0076227;D67967
1.0126505;D98708
1.0175272;D8696
1.0185012;D14917
1.0200341;D55569
1.0272095;D84432
1.0299349;D27160
1.0330259;D77819
1.0334136;D10596
1.0376627;D59231
1.0378503;D68428
1.0379145;D35934
1.0397872;D58445
1.0408381;D89910
1.0450348;D18674
1.0467631;D25142
1.047248;D21933
Number of distance computations:91221
IDquery;Q117
0.75771004;D17188
0.8044056;D65523
0.8913484;D25968
0.89317495;D39470
0.90035444;D95068
0.9009738;D5175
0.9243422;D25811
0.9325661;D46742
0.9478874;D32670
0.948675;D50861
0.9576734;D15853
0.9595588;D73708
0.9600598;D58355
0.96267235;D82852
0.9718219;D57986
0.97228944;D8868
0.97273743;D81300
0.9822392;D28132
0.98411024;D3216
0.9863162;D20744
0.9876784;D29565
0.98812264;D67865
0.9886906;D22700
0.98925245;D9327
0.9896911;D30258
0.99109554;D41833
0.9914053;D52920
0.9982089;D38385
1.0013554;D12931
1.0037724;D3566
Number of distance computations:82651
IDquery;Q359
0.80591434;D72883
0.8320463;D8212
0.84181803;D71971
0.86524725;D20657
0.8840251;D61817
0.8851932;D62960
0.88748586;D36401
0.8878806;D49139
0.89377856;D9262
0.90831894;D35312
0.91380984;D34084
0.93721986;D12612
0.94468766;D37239
0.94917613;D52134
0.9495544;D94153
0.95923567;D25472
0.95998275;D61705
0.9706623;D13218
0.9717071;D56853
0.97918344;D20337
0.9807954;D20131
0.9821524;D63320
0.9868059;D60623
0.98851174;D65363
0.9916567;D73344
0.99384385;D61686
0.99470025;D68456
0.99821967;D2834
0.9990121;D24979
1.0016835;D38536
Number of distance computations:82753
IDquery;Q112
0.79935235;D38004
0.8185698;D54819
0.8418279;D16111
0.8718963;D31239
0.902527;D31945
0.9223613;D24332
0.92939156;D82013
0.93047136;D91142
0.9366581;D11609
0.9423165;D76320
0.954757;D91581
0.95541024;D9800
0.9630019;D42645
0.96615326;D1227
0.9661884;D54680
0.9843918;D18251
0.9941493;D24756
1.0005555;D77060
1.0021137;D38584
1.0041872;D4567
1.0068058;D12931
1.013288;D33410
1.0148655;D85834
1.015886;D43934
1.0165781;D16045
1.0165803;D80536
1.0183105;D2277
1.0191545;D981
1.0204225;D79914
1.0225004;D44147
Number of distance computations:86229
IDquery;Q354
0.827992;D10501
0.83660465;D6597
0.8724811;D29969
0.8756079;D9098
0.8828977;D87536
0.8865933;D2562
0.89066553;D49403
0.8955746;D72999
0.9039051;D82465
0.9084508;D10983
0.9113087;D60869
0.91663265;D31815
0.9267795;D80057
0.9301191;D60790
0.93202055;D48638
0.9354002;D77841
0.93865705;D56312
0.940374;D90749
0.94211805;D35518
0.94839835;D94687
0.9488564;D16060
0.9498295;D69725
0.96614003;D9438
0.9709284;D17291
0.97269374;D4631
0.9739336;D6761
0.9751414;D98390
0.9767576;D52082
0.97730523;D28339
0.97908753;D77215
Number of distance computations:82818
IDquery;Q596
0.8177949;D43751
0.84103185;D63171
0.8545641;D45217
0.8710392;D47448
0.8774178;D81083
0.8807376;D46748
0.8862287;D71885
0.8967431;D92232
0.90669024;D79379
0.91911703;D12142
0.9298214;D96889
0.9307274;D72846
0.93150127;D15862
0.93303615;D41426
0.94004875;D68969
0.9449298;D52030
0.9496992;D89855
0.9532019;D50031
0.9568342;D71961
0.96098614;D66434
0.9620457;D67749
0.9629842;D10404
0.96848243;D10321
0.9738733;D6296
0.975317;D77264
0.976315;D98468
0.9790194;D63746
0.9792224;D60929
0.97963506;D56189
0.98540145;D34213
Number of distance computations:90316
IDquery;Q111
0.69428205;D8689
0.78553927;D20214
0.7946716;D74770
0.7997468;D60916
0.809239;D51809
0.83458674;D84036
0.86305356;D61289
0.8684543;D41594
0.8692862;D36374
0.8732176;D98238
0.873506;D49854
0.8737591;D18167
0.87538797;D552
0.87825257;D7958
0.88313407;D93527
0.88781154;D64643
0.8896087;D45158
