IDquery;Q1
0.5813853;D782320;ok
0.62169695;D296071;ok
0.7128753;D275048;ok
0.7205869;D205034;ok
0.75200427;D733385;ok
0.759106;D776545;ok
0.76660347;D946511;ok
0.7718245;D381344;ok
0.78249216;D867192;ok
0.79332614;D448962;ok
0.7955937;D912154;ok
0.79599863;D690633;ok
0.8001996;D745064;ok
0.80179185;D855155;ok
0.80381674;D253102;ok
0.8085359;D418397;ok
0.8104478;D672125;ok
0.81191516;D758464;ok
0.81364685;D785286;ok
0.8218819;D647860;ok
0.82229435;D475390;ok
0.8278581;D569223;ok
0.8292253;D76711;ok
0.82991976;D226844;ok
0.830073;D167672;ok
0.8309258;D797335;ok
0.831396;D451161;ok
0.83236784;D111938;ok
0.83996284;D323793;ok
0.840236;D540307;ok
Number of distance computations:593286
IDquery;Q2
0.6624652;D868619;ok
0.7097685;D452196;ok
0.8153865;D894888;ok
0.82581824;D396671;ok
0.82804585;D764754;ok
0.84233236;D860364;ok
0.8469798;D854019;ok
0.8531297;D829133;ok
0.8616085;D938501;ok
0.861845;D128995;ok
0.86189455;D534809;ok
0.86281323;D551895;ok
0.8646268;D639256;ok
0.86631095;D967649;ok
0.867603;D498718;ok
0.86799484;D416589;ok
0.8680895;D408674;ok
0.8720862;D750084;ok
0.8726338;D518358;ok
0.8744053;D815489;ok
0.8794319;D348287;ok
0.882267;D727049;ok
0.8857644;D792096;ok
0.8858246;D156060;ok
0.88725656;D757913;ok
0.8881754;D365422;ok
0.8893642;D500635;ok
0.8899339;D377726;ok
0.8907914;D338823;ok
0.8973927;D710359;ok
Number of distance computations:631726
IDquery;Q3
0.6950294;D225433;ok
0.7101267;D325692;ok
0.7272889;D814533;ok
0.74439096;D274545;ok
0.7470435;D583105;ok
0.7573793;D940039;ok
0.76818603;D963386;ok
0.77045274;D727697;ok
0.7964864;D497132;ok
0.80018365;D750022;ok
0.8072704;D683438;ok
0.81684583;D371214;ok
0.81823707;D271029;ok
0.8219617;D532513;ok
0.8266991;D866194;ok
0.8303629;D163646;ok
0.8306872;D602732;ok
0.83191544;D404292;ok
0.8328947;D399608;ok
0.8337803;D132466;ok
0.8339871;D230845;ok
0.83424705;D669421;ok
0.8421603;D313666;ok
0.845103;D360602;ok
0.8455197;D382304;ok
0.8457869;D718197;ok
0.8464061;D753734;ok
0.8516828;D399867;ok
0.8529425;D674027;ok
0.8538491;D415570;ok
Number of distance computations:581808
IDquery;Q4
0.58257025;D849784;ok
0.6825534;D852326;ok
0.6977415;D99606;ok
0.72648853;D811709;ok
0.7553394;D32462;ok
0.7576298;D159093;ok
0.7603777;D265752;ok
0.7628455;D375080;ok
0.7887936;D440634;ok
0.79647434;D960736;ok
0.79742223;D167138;ok
0.7977042;D249172;ok
0.8060495;D989024;ok
0.8077633;D752832;ok
0.81122255;D927047;ok
0.8216165;D223185;ok
0.8225015;D527312;ok
0.82547444;D590925;ok
0.8278022;D341170;ok
0.82819563;D62368;ok
0.8357405;D552880;ok
0.84663606;D297606;ok
0.84866977;D931505;ok
0.8489367;D53301;ok
0.8507864;D974032;ok
0.8528085;D281899;ok
0.8531973;D340421;ok
0.855973;D955152;ok
0.8569103;D9613;ok
0.8590775;D319807;ok
Number of distance computations:657361
IDquery;Q5
0.706152;D487177;ok
0.7429438;D575498;ok
0.79858696;D210400;ok
0.83049864;D39608;ok
0.83093184;D634905;ok
0.83177423;D790265;ok
0.83793485;D52103;ok
0.8549285;D593663;ok
0.8572044;D239405;ok
0.871491;D436533;ok
0.8715111;D407310;ok
0.8731808;D596696;ok
0.8799957;D277722;ok
0.88192433;D968018;ok
0.8867018;D898320;ok
0.8919114;D996012;ok
0.8966078;D922273;ok
0.89714235;D90281;ok
0.9169963;D718821;ok
0.9188651;D901835;ok
0.92285794;D204341;ok
0.92708844;D133102;ok
0.9366594;D97187;ok
0.94097203;D616148;ok
0.9482894;D906476;ok
0.95019495;D478603;ok
0.95172745;D779486;ok
